Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1145, 297 generations after burn-in, is: -12.027672
log average fitness in generation 1146, 298 generations after burn-in, is: -11.959870
log average fitness in generation 1147, 299 generations after burn-in, is: -11.934209
log average fitness in generation 1148, 300 generations after burn-in, is: -11.910482
log average fitness in generation 1149, 301 generations after burn-in, is: -11.904410
log average fitness in generation 1150, 302 generations after burn-in, is: -11.868706
log average fitness in generation 1151, 303 generations after burn-in, is: -11.848197
log average fitness in generation 1152, 304 generations after burn-in, is: -11.832698
log average fitness in generation 1153, 305 generations after burn-in, is: -11.825741
log average fitness in generation 1154, 306 generations after burn-in, is: -11.835499
log average fitness in generation 1155, 307 generations after burn-in, is: -11.834202
log average fitness in generation 1156, 308 generations after burn-in, is: -11.880493
log average fitness in generation 1157, 309 generations after burn-in, is: -11.907003
log average fitness in generation 1158, 310 generations after burn-in, is: -11.920625
log average fitness in generation 1159, 311 generations after burn-in, is: -11.829926
log average fitness in generation 1160, 312 generations after burn-in, is: -11.814591
log average fitness in generation 1161, 313 generations after burn-in, is: -11.820682
log average fitness in generation 1162, 314 generations after burn-in, is: -11.880351
log average fitness in generation 1163, 315 generations after burn-in, is: -11.898344
log average fitness in generation 1164, 316 generations after burn-in, is: -11.902559
log average fitness in generation 1165, 317 generations after burn-in, is: -11.920864
log average fitness in generation 1166, 318 generations after burn-in, is: -11.953191
log average fitness in generation 1167, 319 generations after burn-in, is: -11.941057
log average fitness in generation 1168, 320 generations after burn-in, is: -11.917378
log average fitness in generation 1169, 321 generations after burn-in, is: -11.894450
log average fitness in generation 1170, 322 generations after burn-in, is: -11.913538
log average fitness in generation 1171, 323 generations after burn-in, is: -11.948426
log average fitness in generation 1172, 324 generations after burn-in, is: -11.941339
log average fitness in generation 1173, 325 generations after burn-in, is: -11.968423
log average fitness in generation 1174, 326 generations after burn-in, is: -11.928013
log average fitness in generation 1175, 327 generations after burn-in, is: -11.954207
log average fitness in generation 1176, 328 generations after burn-in, is: -11.970310
log average fitness in generation 1177, 329 generations after burn-in, is: -12.024475
log average fitness in generation 1178, 330 generations after burn-in, is: -12.057284
log average fitness in generation 1179, 331 generations after burn-in, is: -12.051258
log average fitness in generation 1180, 332 generations after burn-in, is: -12.003679
log average fitness in generation 1181, 333 generations after burn-in, is: -12.020323
log average fitness in generation 1182, 334 generations after burn-in, is: -12.044154
log average fitness in generation 1183, 335 generations after burn-in, is: -12.076999
log average fitness in generation 1184, 336 generations after burn-in, is: -12.085451
log average fitness in generation 1185, 337 generations after burn-in, is: -12.121745
log average fitness in generation 1186, 338 generations after burn-in, is: -12.197332
log average fitness in generation 1187, 339 generations after burn-in, is: -12.228477
log average fitness in generation 1188, 340 generations after burn-in, is: -12.269950
log average fitness in generation 1189, 341 generations after burn-in, is: -12.275661
log average fitness in generation 1190, 342 generations after burn-in, is: -12.304656
log average fitness in generation 1191, 343 generations after burn-in, is: -12.307987
log average fitness in generation 1192, 344 generations after burn-in, is: -12.264312
log average fitness in generation 1193, 345 generations after burn-in, is: -12.245363
log average fitness in generation 1194, 346 generations after burn-in, is: -12.288045
log average fitness in generation 1195, 347 generations after burn-in, is: -12.287402
log average fitness in generation 1196, 348 generations after burn-in, is: -12.274937
log average fitness in generation 1197, 349 generations after burn-in, is: -12.246497
log average fitness in generation 1198, 350 generations after burn-in, is: -12.257562
log average fitness in generation 1199, 351 generations after burn-in, is: -12.194851
log average fitness in generation 1200, 352 generations after burn-in, is: -12.204707
log average fitness in generation 1201, 353 generations after burn-in, is: -12.182520
log average fitness in generation 1202, 354 generations after burn-in, is: -12.179933
log average fitness in generation 1203, 355 generations after burn-in, is: -12.173308
log average fitness in generation 1204, 356 generations after burn-in, is: -12.142006
log average fitness in generation 1205, 357 generations after burn-in, is: -12.146652
log average fitness in generation 1206, 358 generations after burn-in, is: -12.160491
